Trial_ID,variable_name,variable_role,variable_type,r_class,n_rows,n_missing,n_unique_nonmissing,levels_or_range,short_explanation
1,Treatment,Treatment assignment,factor,factor,342,0,3,Metformin + Sham Acupuncture; Sham Acupuncture + Placebo; True Acupuncture + Placebo,Treatment: randomized treatment assignment with cleaned-data arms: Metformin + Sham Acupuncture; Sham Acupuncture + Placebo; True Acupuncture + Placebo. Publication-designated control/reference: Sham acupuncture + placebo.
1,YP_delta_HOMA_IR_4m,Primary outcome,continuous,numeric,342,51,291,-6.63752 to 7.93029,Primary outcome: Change from baseline to 4 months in homeostasis model assessment of insulin resistance (HOMA-IR).
1,post_YP_delta_HOMA_IR_7m,Other,continuous,numeric,342,80,262,-9.03314 to 39.6076,Primary outcome: Extended follow-up change from baseline to 7 months in homeostasis model assessment of insulin resistance (HOMA-IR).
1,YS_delta_BMI_4m,Secondary outcome,continuous,numeric,342,52,261,-5.94884 to 3.71135,"Secondary outcome: Change from baseline to 4 months in body mass index (BMI), in kg/m²."
1,YS_delta_WHR_4m,Secondary outcome,continuous,numeric,342,52,286,-0.313968 to 0.265221,Secondary outcome: Change from baseline to 4 months in waist-to-hip ratio.
1,YS_delta_Acne_4m,Secondary outcome,continuous,numeric,342,51,8,-4 to 3,Secondary outcome: Change from baseline to 4 months in acne.
1,YS_delta_Hirsutism_4m,Secondary outcome,continuous,numeric,342,50,9,-5 to 3,Secondary outcome: Change from baseline to 4 months in hirsutism.
1,YS_delta_FPG_4m,Secondary outcome,continuous,numeric,342,51,185,-5.28 to 2.98,Secondary outcome: Change from baseline to 4 months in fasting plasma glucose concentration.
1,YS_delta_FINS_4m,Secondary outcome,continuous,numeric,342,51,284,-27.87 to 39.43,Secondary outcome: Change from baseline to 4 months in fasting insulin concentration.
1,YS_delta_GlucoseAUC_4m,Secondary outcome,continuous,numeric,342,55,271,-9.315 to 6.355,Secondary outcome: Change from baseline to 4 months in glucose area under the oral-glucose-tolerance-test curve.
